3 36258 65284 49630
4 27227 17532 74833 32750
4 41414 90618 69601 21773
4 18651 88939 94173 68524
4 2535 74735 68540 52748
4 24054 47288 34507 47109
4 17413 49493 93630 43463
4 75858 52165 36127 16236
4 32033 675 78903 47731
4 57226 95881 60442 26992
3 49188 61658 82449
4 63112 22413 96191 1628
4 74334 14258 58729 99117
4 88350 67898 36960 41370
3 28138 55471 59692
4 53067 32175 226 9229
4 5851 13222 16142 89425
4 90418 60794 32761 72399
4 95459 25967 56407 24234
4 14143 31676 15176 64942
4 30536 6419 21833 20096
4 36961 70977 76155 57481
4 53908 27214 95298 62609
4 16675 60594 93899 49784
4 13525 67500 15520 12647
4 99627 2451 19339 56842
4 63695 40795 85367 12375
4 98372 27066 32115 68049
4 52947 93168 91683 80529
4 36267 7052 17347 71617
4 1529 19836 60611 15177
4 20705 30756 56144 87115
4 56286 19790 75335 98230
4 85189 12312 95720 90199
4 72706 54940 77375 12572
4 47851 99428 35672 76371
4 28613 26731 75648 95921
3 81023 94 97677
4 74637 85463 30804 84526
4 73756 20694 84445 45666
4 76512 48426 75558 85027
4 94990 55269 85556 69500
4 26893 59943 15092 13590
3 29512 99675 75377
3 95270 88806 88874
4 39799 68784 92827 41113
4 29830 94997 14229 84292
4 71115 16577 72743 24636
4 44592 19712 28687 70080
4 80699 14805 62131 32793
4 26555 43941 43842 70411
4 97453 92334 17698 15343
4 35544 1808 13336 48202
4 81814 67107 9370 74849
4 21023 60722 56320 35708
4 37194 5809 49916 83834
4 24093 29442 59604 69297
4 75167 48249 52233 48504
4 56133 91657 96817 6029
4 35885 22559 16243 43719
4 988 31217 87758 11184
4 56045 90738 88086 71006
4 57005 2789 21800 80848
4 55240 88976 97939 51500
4 58211 4416 78614 48683
4 55179 1060 19312 33344
4 306 42016 5911 70438
3 49814 46127 71928
4 837 81353 55114 29516
4 83576 80449 40674 93154
4 74734 34140 20386 83465
4 93104 86457 43057 90253
4 87072 99230 37874 34108
4 64950 58792 36571 16278
4 43293 11716 60412 95060
4 64545 19560 40644 73191
4 64005 89073 99738 86039
4 75727 92730 80368 36993
4 67104 7556 94054 58008
3 8008 24836 55276
4 17447 9043 18531 3835
4 19929 42843 53724 93953
4 87919 48387 68302 81507
4 29826 38054 63775 81540
4 25440 71877 2404 29514
4 20266 70747 86685 65300
4 7509 19957 13958 60384
4 47103 8239 87601 2057
4 25771 57982 76564 11189
4 28586 14925 19358 20740
4 7525 38536 29975 84204
4 21212 9980 54142 86944
4 74305 43778 86975 71812
3 38 68519 97693
4 16671 90749 41280 16235
4 89712 51872 29702 10323
4 21496 59115 7924 61489
4 45690 61640 50709 92514
4 12944 65595 97251 67527
4 77107 24194 75274 79858
4 39882 58766 99677 32456
4 46357 77824 3706 93899
4 30482 65989 82786 84004
4 31260 9064 29372 36707
4 89271 96071 69821 51440
4 62972 95395 85502 2618
4 90546 37499 54163 95476
4 96897 68087 13876 37376
3 1116 42559 50329
4 95629 73651 91553 78178
4 13351 64814 21302 61810
4 28752 27059 24866 82353
4 78705 27255 91703 34974
4 47305 16959 5028 57097
4 83624 67677 59486 5277
4 49127 27440 98366 93744
4 1274 99393 97863 62761
4 67827 24464 20062 62856
4 41952 63305 59015 20073
4 63466 73366 38172 15509
4 4251 19603 66281 61896
4 80486 31443 68258 73435
4 13393 97509 86954 4851
4 85162 23496 16000 93575
4 65560 86783 69975 32468
4 2536 1778 98711 86755
4 77041 12859 14547 41411
4 94179 59083 84348 2384
4 88585 40243 83187 74550
4 77366 83569 32355 89454
4 70411 59754 411 83506
4 26534 69544 54131 85450
4 67348 10881 39472 65514
4 9730 27019 50883 97868
4 78049 87884 63638 28444
4 2985 65429 50878 58392
4 41847 84748 46142 86835
4 27977 72775 56578 88208
4 47820 73688 36518 8085
4 18064 21794 20450 26720
4 66561 70221 53313 19404
4 97047 13629 7855 87613
3 8884 9605 54805
4 32353 24283 63793 45824
4 24869 43758 7642 82286
4 48366 80387 54250 77338
4 31788 28811 10292 49523
4 94946 1767 49743 26282
4 15328 45823 49988 451
4 61848 9926 67116 38513
4 95912 41426 69580 60044
3 85286 8454 63492
4 11957 34734 48590 79322
4 21147 14461 85524 35425
4 52789 52619 40060 90781
4 58537 3395 94552 13703
4 69358 26259 61507 50544
4 48342 51064 61768 42308
4 20759 51653 47181 60222
4 82591 54097 63153 93494
4 23777 76502 74164 90270
4 3500 49808 49593 31213
4 76273 17933 10093 64651
4 26881 30920 65063 99517
4 2789 5613 58427 24083
4 37010 84561 96530 31043
4 39533 16359 96468 80333
4 8717 27426 81655 8277
4 60515 28057 49038 10490
4 17317 64151 22992 27483
4 90491 33603 64448 32433
4 39408 78357 77357 65002
4 5131 61078 95282 69900
4 5512 14497 70682 59160
4 97255 61561 11935 58790
4 50709 98669 65272 92173
4 84693 99046 3183 99619
4 51239 20864 48691 43924
4 60051 36967 91872 659
4 21093 93643 26376 25898
4 83249 14359 77393 7699
4 39864 52594 33274 76632
4 73714 23083 19990 81358
4 76160 2491 62549 54613
4 45971 46095 18780 24435
4 55123 87784 69562 47858
3 63815 12697 20629
4 57423 62469 48467 48259
4 72335 85540 82327 92225
4 9470 58150 48216 34011
4 16570 32276 81956 41795
4 94096 56350 61983 41912
4 44100 46006 75481 73528
4 87837 53453 26784 50767
4 87537 8430 50367 54932
4 64131 10648 88469 2875
4 82461 84380 44102 44007
4 72625 65079 67271 33123
4 20633 13226 13824 67335
4 90018 34196 95338 71679
4 96631 32205 83583 8358
4 56985 64719 97878 50468
4 24360 84451 95992 53693
4 90184 55380 57933 51477
4 23476 45000 25299 68471
4 19019 26214 54234 77469
4 72667 53345 22484 12247
4 79146 66283 7229 33824
4 85250 13891 82205 62272
4 94288 39046 65913 37785
4 5220 24195 57769 5228
3 44755 72556 58460
4 84827 57391 85997 98319
4 65521 49699 51645 46757
4 22116 31800 17442 34831
4 43080 36836 46277 21672
4 76452 17313 6676 48806
4 17747 87975 53177 32233
4 10588 51979 31508 96553
4 75052 89407 39804 12264
4 89116 58645 64678 56797
4 38490 48358 87783 88616
3 75227 76652 84207
4 47695 64861 26442 68364
4 69575 18078 77731 12645
4 62950 32604 78612 16
4 88392 63024 4853 52806
4 13354 48234 67144 40930
4 24834 52672 33789 76918
4 27789 87991 11110 96788
4 98857 25684 41688 98604
4 78202 32180 47529 50026
4 68488 90461 71759 41108
4 61983 54826 64374 65476
4 44290 6543 9946 15707
4 17793 47969 72368 71866
4 63284 16763 39807 65688
4 27051 71815 51655 14694
4 89656 56630 25477 54476
4 70301 26052 49565 35614
4 85925 57396 24211 6740
4 83027 64668 66452 36278
4 23578 2669 10627 78366
4 63013 14868 53112 86720
3 9752 15997 69367
4 8495 48298 87046 66127
4 25898 89741 8416 78990
4 85285 90419 97717 94704
4 72398 55405 59611 40102
4 17962 11814 84207 32587
4 49485 97643 14353 69596
4 91552 77807 60778 88239
4 26229 3762 3930 32821
4 31780 93078 56439 14028
4 26623 97159 74119 39752
4 79798 50635 21238 68737
4 96502 28313 68091 73755
4 72223 8484 49180 80630
4 20009 91873 9484 17743
4 98859 63268 77741 38690
4 30667 90458 62502 50321
4 40946 26557 4408 19445
4 39025 32546 18755 76858
4 15692 14846 61348 15263
4 64028 72831 42996 79400
4 28490 94565 20304 7689
4 94629 23487 78108 23452
4 43344 35714 1869 35498
4 60857 33062 54375 76066
4 61878 73546 29565 51705
4 99191 33392 72199 76065
3 96666 62965 85844
4 68446 51772 88372 40662
4 19964 58209 52334 52784
4 31255 77596 16343 56493
3 64682 30365 58208
4 73635 36723 40690 27582
4 92576 29225 31302 3825
3 18868 92451 2874
4 41675 53312 24156 77028
4 63931 37795 79065 75643
4 6151 91879 60158 77835
4 45552 23566 27058 98485
4 35344 73501 17195 64706
4 33073 97215 83020 2670
4 87131 63777 85553 5755
4 52805 71691 6454 718
3 23521 65601 66473
4 99604 21281 74678 33625
4 44029 35312 63963 10398
3 49010 15154 80000
4 40688 49912 80992 35626
4 53736 4985 71577 71590
4 45406 26961 6342 77316
4 13842 93284 7859 97320
4 70043 78184 60828 91194
3 45603 89951 43303
4 37740 43102 93564 2332
4 35379 66327 33145 33272
4 55237 11171 72716 31906
4 21315 14077 36410 19377
4 66755 29611 14468 5552
4 64587 9366 32111 77020
4 43295 86525 46361 6908
4 10959 71722 72658 10132
4 52023 67 56360 78087
4 86933 88923 86301 31813
4 72363 70850 78109 17353
4 51660 21266 17405 24366
4 71422 98257 79649 96658
3 84470 9259 69955
4 62513 27139 66230 86313
4 84058 78129 79780 4086
4 52522 89559 25098 55472
4 7022 5844 92135 4374
4 30928 5108 31852 47068
4 93571 37982 95099 1211
4 53398 97741 13312 34279
4 83698 55210 94794 83822
4 37559 52822 95417 3883
4 17166 26148 24948 89526
4 32873 55490 8342 18024
4 77209 36957 11345 51679
4 8490 76768 66218 35816
4 51612 14685 28828 81399
4 61084 99902 41587 41082
4 59127 55086 54192 45681
4 85101 19751 95771 91126
4 85943 38715 18921 32040
4 6601 64878 43940 78018
4 12074 55093 91169 61312
4 40035 71061 72671 74711
4 44226 28878 42145 35050
4 68182 88850 50622 89563
4 43169 31494 53643 75821
4 33940 53580 80201 8418
4 82223 57868 41627 88753
4 54428 58562 70521 34037
4 51333 6361 90628 46872
4 14936 4139 89526 98563
4 96086 3488 11236 88096
4 6457 47979 44562 64164
4 75090 54087 18389 61649
4 11114 23170 20894 61669
4 24965 17821 5646 22882
4 65135 33028 37824 15460
4 1980 94758 55230 17083
4 51186 55224 20543 88373
4 63624 43822 59906 13401
3 99069 47661 29792
4 10728 76811 89576 64360
4 90355 37592 16200 69198
3 16270 26689 27084
4 98437 43832 4873 36561
4 9900 35531 18688 6553
4 71867 15870 40280 65671
4 36800 66267 72473 5512
4 78667 31416 82216 83203
4 7913 96605 59070 44149
4 96482 23801 18850 98033
4 63208 48288 58420 96299
4 73587 96963 93125 6679
4 72975 24342 71407 44960
4 31547 87404 78596 38344
3 84431 63717 77973
4 66630 39429 6543 31872
4 24164 28907 71619 87343
4 36780 13306 88176 19136
4 48591 12726 687 33903
4 72731 61908 5128 23609
4 14214 77346 18395 96203
4 43062 49284 30478 33859
4 19686 47257 87094 13717
4 63689 8311 58101 19281
4 67981 30528 47839 49579
4 29568 2872 34543 77117
4 33771 62450 60859 89810
4 98183 12899 58642 51358
4 32227 77788 20337 81913
4 924 46675 8538 1186
4 71567 97450 10381 2926
4 76739 57451 20417 82155
4 19371 36722 76122 12759
4 13853 76282 29523 24414
4 60669 62021 16917 6062
4 43003 15098 84082 68033
4 18398 48988 75821 1401
4 61462 27837 79578 33158
4 6115 37971 50059 99911
3 64078 14637 60876
4 52074 88440 89241 9858
4 43055 85768 40478 99926
4 25909 59268 738 10468
4 50286 63807 94080 6028
4 64276 432 36291 53687
4 88701 72197 53333 44516
4 19571 57480 95479 38350
4 63049 34055 32418 15265
4 73929 79957 34818 44769
4 66294 29968 38133 90670
4 22669 81931 85104 35980
4 19359 19822 53835 7014
4 91297 50371 67329 74366
4 31682 74355 63378 26271
4 43272 26324 90597 35186
4 55617 70004 42836 95364
4 33124 33332 42234 42930
4 25727 96841 81816 37551
4 98644 98642 40601 71611
4 21899 42345 57642 99422
4 96632 33364 60128 131
4 89306 49461 61244 87489
4 29267 29876 30641 6577
4 55432 88826 17222 60675
4 44481 68839 79377 40910
4 7368 73627 64947 12019
4 48266 91036 35202 57802
4 76758 36808 14371 43915
4 2147 29518 62743 47785
4 15738 9159 50081 31680
4 12528 45580 40724 85994
4 33593 80356 40607 13428
4 56960 17508 11697 1282
4 23473 4359 98948 54131
4 35388 82972 55400 2409
4 43251 73864 50050 96817
4 64571 15509 33566 19971
4 36921 9308 85338 38250
4 80265 9463 62779 62339
4 92796 31349 77965 85855
4 58166 77718 83737 55226
4 395 98911 34749 39044
4 37171 41930 61530 23559
4 40426 22200 44680 51474
4 64915 66247 56513 37133
4 63962 78652 85135 61280
4 86755 36071 72307 81441
4 33607 86413 54345 28239
4 5453 13530 54270 51536
4 89136 20370 95101 72051
4 87719 52688 42808 41246
4 74666 91612 71711 3245
4 70421 63590 47295 65832
3 53107 91353 73587
4 94331 32331 21037 30961
4 51440 9982 66115 22177
4 1786 4572 3878 61539
4 28656 65179 86551 39313
4 66927 96784 54377 22949
4 72091 69507 8071 63991
4 6876 27999 149 30471
4 13733 75957 10239 61468
4 53374 36053 57009 55150
4 3633 84857 48328 70550
4 94522 64473 36383 42779
4 2164 32709 70979 98077
4 86661 26945 56246 47566
4 41199 39560 92605 59166
4 80256 19930 73545 3391
4 59376 60533 32694 90703
3 21695 56050 35803
4 26653 42380 76227 86968
4 77258 7340 79977 39514
3 2568 39049 16759
4 17833 29560 29347 50677
4 31846 3133 25606 89105
4 17085 80576 12031 84471
4 77841 755 90858 92693
4 23088 5418 89698 59941
4 72018 48652 40185 70660
4 64680 10131 88977 75334
4 61943 36515 27593 25869
3 37631 19884 70430
4 4822 13876 28395 3460
4 61929 21977 45322 19536
4 29743 54314 52759 13217
4 66971 56925 64383 22260
4 88026 86976 80213 41300
4 95925 45077 50766 79978
4 29191 96272 3240 66584
3 50836 29786 63643
3 57905 28742 89804
4 88766 79807 32131 10356
4 35141 32363 19438 89441
4 85972 4966 34025 91990
4 30259 38869 16576 11958
4 33781 10732 95020 85437
4 86217 2510 61062 45019
4 94803 79946 87827 75309
4 65605 55699 94601 30056
4 30945 74018 70607 35365
4 13179 747 77042 49199
4 60782 9585 70547 23225
4 18654 12580 23816 31869
4 62340 88997 37599 58391
4 30699 84336 48396 72525
4 42588 43069 71849 33107
4 36611 78590 28137 95526
4 93419 73659 28618 48441
4 66037 41044 97376 27459
4 55497 73264 1364 92140
4 45708 3559 86223 86401
4 87276 43644 12696 66908
4 25442 10457 79081 18119
4 12005 40530 15414 87154
4 10162 65006 16331 67662
4 39854 63061 5359 58916
4 16508 25626 63121 27810
4 27386 52941 10552 42171
4 93839 3160 97396 99017
4 41282 87710 43155 44048
4 64266 50237 7175 88823
4 82900 42842 24310 79467
4 73711 4822 72196 2981
4 37987 60870 52914 23912
4 70853 42023 69010 62426
4 74356 25412 22900 94432
4 53948 89548 52542 21909
4 94376 63645 78515 69288
4 13335 45435 14764 46477
4 36514 67526 48751 28644
4 53368 62064 1807 90482
4 89704 14401 23036 92585
4 8201 7935 55668 54151
4 69963 95485 67407 8493
4 33877 79844 50755 27609
4 65841 25529 22114 92503
4 19572 75859 69795 33379
3 37556 72185 68833
4 80773 36562 80221 29935
4 89785 60753 12357 97658
4 49169 62870 25849 53055
4 3195 10404 20140 6126
4 94031 57581 86201 81553
4 40937 22117 17276 87475
4 60052 5506 56369 69563
4 97880 49013 14341 54946
4 77423 90559 26243 95978
4 83603 89024 57247 67525
4 49884 25367 33891 25362
4 76438 8755 47147 82896
4 11325 44929 53479 70255
4 20354 689 65379 45284
4 36104 65678 69342 55613
4 28642 14216 62473 24453
4 13599 94331 82079 18613
4 87888 41204 42116 45099
4 63418 71353 17403 40472
4 70498 82298 67711 36095
4 52330 77631 1015 72632
4 73375 42200 44440 75150
4 52104 99165 6138 56004
4 4109 30706 76818 28539
4 1329 78715 29679 52830
4 64174 42224 65147 79556
4 54500 43608 54883 14391
4 31838 36963 30370 28929
4 50184 8179 9706 93813
4 73684 17856 3490 57350
